exercise,amount,actual_amount,amount_unit,intensity,actual_intensity,intensity_unit
Dynamic Warm-up,5.0,0.0,min,0.0,0.0,None
Dumbbell Bench Press,12.0,0.0,reps,35.0,0.0,lbs
Dumbbell Bench Press,10.0,0.0,reps,40.0,0.0,lbs
Dumbbell Bench Press,8.0,0.0,reps,45.0,0.0,lbs
Dumbbell Bench Press,8.0,0.0,reps,45.0,0.0,lbs
Dumbbell Overhead Press,12.0,0.0,reps,25.0,0.0,lbs
Dumbbell Overhead Press,10.0,0.0,reps,30.0,0.0,lbs
Dumbbell Overhead Press,8.0,0.0,reps,35.0,0.0,lbs
Dumbbell Lateral Raise,15.0,0.0,reps,10.0,0.0,lbs
Dumbbell Lateral Raise,12.0,0.0,reps,12.5,0.0,lbs
Dumbbell Lateral Raise,12.0,0.0,reps,12.5,0.0,lbs
Push-up,18.0,0.0,reps,0.0,0.0,None
Push-up,15.0,0.0,reps,0.0,0.0,None
Dumbbell Tricep Extension,12.0,0.0,reps,25.0,0.0,lbs
Dumbbell Tricep Extension,10.0,0.0,reps,27.5,0.0,lbs
Dumbbell Tricep Extension,10.0,0.0,reps,27.5,0.0,lbs
Cool-down Stretch,5.0,0.0,min,0.0,0.0,None
