exercise,amount,actual_amount,amount_unit,intensity,actual_intensity,intensity_unit
Dynamic Warm-up,5.0,0.0,min,0.0,0.0,None
Goblet Squat,12.0,0.0,reps,35.0,0.0,lbs
Goblet Squat,10.0,0.0,reps,40.0,0.0,lbs
Goblet Squat,8.0,0.0,reps,45.0,0.0,lbs
Dumbbell Lunge,10.0,0.0,reps,25.0,0.0,lbs
Dumbbell Lunge,10.0,0.0,reps,30.0,0.0,lbs
Dumbbell Lunge,8.0,0.0,reps,35.0,0.0,lbs
Dumbbell Romanian Deadlift,12.0,0.0,reps,35.0,0.0,lbs
Dumbbell Romanian Deadlift,10.0,0.0,reps,40.0,0.0,lbs
Dumbbell Romanian Deadlift,8.0,0.0,reps,45.0,0.0,lbs
Glute Bridge,15.0,0.0,reps,30.0,0.0,lbs
Glute Bridge,12.0,0.0,reps,35.0,0.0,lbs
Plank,75.0,0.0,seconds,0.0,0.0,None
Plank,75.0,0.0,seconds,0.0,0.0,None
Lying Leg Raise,20.0,0.0,reps,0.0,0.0,None
Lying Leg Raise,20.0,0.0,reps,0.0,0.0,None
Cool-down Stretch,5.0,0.0,min,0.0,0.0,None
