exercise,amount,actual_amount,amount_unit,intensity,actual_intensity,intensity_unit
Dynamic Warm-up,5.0,0.0,min,0.0,0.0,None
Dumbbell Curl and Press,12.0,0.0,reps,20.0,0.0,lbs
Dumbbell Curl and Press,10.0,0.0,reps,25.0,0.0,lbs
Dumbbell Curl and Press,8.0,0.0,reps,27.5,0.0,lbs
Farmer's Carry,50.0,0.0,meters,45.0,0.0,lbs
Farmer's Carry,50.0,0.0,meters,50.0,0.0,lbs
Farmer's Carry,40.0,0.0,meters,55.0,0.0,lbs
Kettlebell Swings,20.0,0.0,reps,35.0,0.0,lbs
Kettlebell Swings,15.0,0.0,reps,40.0,0.0,lbs
Kettlebell Swings,15.0,0.0,reps,40.0,0.0,lbs
Stair Climber,15.0,0.0,min,165.0,0.0,bpm
Cool-down Stretch,5.0,0.0,min,0.0,0.0,None
